"Data Collection, Focal Lengths of Converging Lenses",,,,,,,,,,,,,,
Object Position,Lens B Pos,Lens A Position,Final Image Pos,B Image Pos*,B Obj Dist*,B Image Dist*,A Obj Dist*,A Image Dist*,Measured A-Obj Dist,F-Obj Size,F-Img Size,Magnification*,,
16,24,43.4,76.4,6.857142857,8,-17.14285714,36.54285714,37.46872526,33,1.57,2.87,-1.828025478,,
16,31.3,58.5,76.4,796.3,15.3,765,-737.8,18.04746794,17.9,1.57,1.83,-1.165605096,,
16,41.1,68.7,76.4,78.37722772,25.1,37.27722772,-9.677227723,6.353666678,7.7,1.57,1.44,-0.9171974522,,
16,21,41.3,89.8,13.5,5,-7.5,27.8,55.30107527,48.5,1.57,3.99,-2.541401274,,
16,23,64.2,89.8,9.875,7,-13.125,54.325,28.05338451,25.6,1.57,1.38,-0.8789808917,,
16,41.3,60.3,70,78.14466019,25.3,36.84466019,-17.84466019,9.083210899,9.7,1.57,1.06,-0.6751592357,,
16,46.8,61.2,70,76.04050633,30.8,29.24050633,-14.84050633,8.234708987,8.8,1.57,0.76,-0.4840764331,,
16,30.9,51.6,70,-2204.1,14.9,-2235,2255.7,18.65298141,18.4,1.57,1.7,-1.082802548,,
16,30,75.3,95,-180,14,-210,255.3,19.9453125,19.7,1.57,1.73,-1.101910828,,
16,39.8,55.1,66.3,80.36818182,23.8,40.56818182,-25.26818182,10.68039256,11.2,1.57,1.17,-0.7452229299,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Data Collection, Measured Quantities",,,,,,,,,"Data Collection, Derived Quantities",,,,,
Object Position,Lens B Pos,Lens A Position,Final Image Pos,Measured A-Obj Dist,F-Obj Size,F-Img Size,,,B Image Pos*,B Obj Dist*,B Image Dist*,A Obj Dist*,A Image Dist*,Magnification*
16,24,43.4,76.4,33,1.57,2.87,,,1.446642336,1.3,-1.423357664,-1.446642336,1.341723723,0.9274743934
16,31.3,58.5,76.4,17.9,1.57,1.83,,,1.56541384,0.26,-0.2645861601,-1.56541384,1.443287254,0.9219844728
16,41.1,68.7,76.4,7.7,1.57,1.44,,,1.568883014,-0.13,0.1288830139,-1.568883014,1.446235734,0.9218250955
16,21,41.3,89.8,48.5,1.57,3.99,,,1.104467409,2.42,-2.885532591,-1.104467409,1.042244435,0.943662463
16,23,64.2,89.8,25.6,1.57,1.38,,,1.567623436,-0.19,0.1876234365,-1.567623436,1.445165326,0.9218829553
16,41.3,60.3,70,9.7,1.57,1.06,,,1.553230174,-0.51,0.4932301741,-1.553230174,1.432924171,0.9225446394
16,46.8,61.2,70,8.8,1.57,0.76,,,1.528500949,-0.81,0.7685009488,-1.528500949,1.411851422,0.9236837069
16,30.9,51.6,70,18.4,1.57,1.7,,,1.568863484,0.13,-0.1311365165,-1.568863484,1.446219138,0.9218259925
16,30,75.3,95,19.7,1.57,1.73,,,1.568274933,0.16,-0.1617250674,-1.568274933,1.445718994,0.9218530273
16,39.8,55.1,66.3,11.2,1.57,1.17,,,1.55961039,-0.4,0.3896103896,-1.55961039,1.438352573,0.9222512123