Radius of Curvature Experiment,,,,,
Object Position,Lens Position,Distance to Image,Uncertainty,Derived Focal Len,Derived R
14,27,63.3,5.5,10.78505898,-21.57011796
14,28.5,40.7,4.5,10.69112319,-21.38224638
14,30,33.3,1.3,10.80730223,-21.61460446
14,33,25.9,1,10.95991091,-21.91982183
14,36,21.9,0.75,10.97494305,-21.9498861
14,38,20.2,0.95,10.96832579,-21.93665158
14,40.5,18.8,0.6,10.99779249,-21.99558499
14,42,17.2,0.35,10.65486726,-21.30973451
14,48,16,0.4,10.88,-21.76
14,55,14.25,0.25,10.57466063,-21.14932127
14,66,14.05,0.25,11.06131718,-22.12263437
14,85,12.65,0.05,10.7369994,-21.4739988
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,, ,