object position,lens D position,lens B position,lens B uncertainty,Screen position,,Image Distance B,Object Distance B,Object Distance D,Object Location B,Image Distance D,Focal Length D
14,44,63,3,94,,31,29.0625,30,33.9375,-10.0625,-15.14106583
14,40.5,54.8,0.8,94,,39.2,24.29752066,26.5,30.50247934,-9.997520661,-16.05421174
14,33.2,70.6,0.9,94,,23.4,41.78571429,19.2,28.81428571,-4.385714286,-5.684088717
14,37.6,69.1,0.8,94,,24.9,37.72727273,23.6,31.37272727,-6.227272727,-8.459445317
14,23.7,38.6,0.6,94,,55.4,20.56930693,9.7,18.03069307,-5.669306931,-13.64338
14,23.7,72.2,1,94,,21.8,48.08823529,9.7,24.11176471,0.4117647059,0.3949970913
14,31,44.1,0.7,94,,49.9,21.4469914,17,22.6530086,-8.346991404,-16.39878804
14,25.2,39.6,0.6,94,,54.4,20.7106599,11.2,18.8893401,-6.310659898,-14.45581395
14,33.4,46.6,0.6,94,,47.4,21.94444444,19.4,24.65555556,-8.744444444,-15.92054223
14,28,41.7,0.3,94,,52.3,21.03217158,14,20.66782842,-7.332171582,-15.39487757