Central maximum (cm),Uncertainty,max 1,Uncertainty,max 2,Uncertainty,diameter (unit),diameter (mm),product,product 1,product 2
0.46,0.09,1.18,0.15,2.05,0.19,71,1.775,0.8165,2.0945,3.63875
0.4,0.09,1.02,0.16,1.69,0.18,89.5,2.2375,0.895,2.28225,3.781375
0.3,0.08,0.75,0.1,1.27,0.15,118,2.95,0.885,2.2125,3.7465
0.55,0.13,1.44,0.25,2.45,0.25,59,1.475,0.81125,2.124,3.61375
0.23,0.1,0.93,0.1,1.5,0.14,110,2.75,0.6325,2.5575,4.125
0.23,0.06,0.78,0.11,1.26,0.15,137,3.425,0.78775,2.6715,4.3155
0.49,0.16,1.19,0.15,2.15,0.15,78,1.95,0.9555,2.3205,4.1925
0.49,0.09,1.13,0.14,1.88,0.17,77,1.925,0.94325,2.17525,3.619
0.43,0.15,1.15,0.1,2.04,0.15,71,1.775,0.76325,2.04125,3.621
0.39,0.14,1.04,0.18,1.57,0.09,84,2.1,0.819,2.184,3.297
0.48,0.15,1.18,0.19,2.14,0.25,73,1.825,0.876,2.1535,3.9055